"year","parent_entity","parent_type","commodity","production_value","production_unit","total_emissions_MtCO2e"
1962,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",0.9125,"Million bbl/yr",0.363884830898486
1962,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1.84325,"Bcf/yr",0.134355212034468
1963,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",1.825,"Million bbl/yr",0.727769661796971
1963,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",4.4238,"Bcf/yr",0.322452508882724
1964,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",7.3,"Million bbl/yr",2.91107864718788
1964,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",17.32655,"Bcf/yr",1.262938993124
1965,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",10.95,"Million bbl/yr",4.36661797078183
1965,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",25.0682,"Bcf/yr",1.82723088366877
1966,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",13.505,"Million bbl/yr",5.38549549729759
1966,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",29.86065,"Bcf/yr",2.17655443495839
1967,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",14.6,"Million bbl/yr",5.82215729437577
1967,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",29.86065,"Bcf/yr",2.17655443495839
1968,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",18.25,"Million bbl/yr",7.27769661796971
1968,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",39.0769,"Bcf/yr",2.84833049513073
1969,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",22.265,"Million bbl/yr",8.87878987392305
1969,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",47.1872,"Bcf/yr",3.43949342808239
1970,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",25.7325,"Million bbl/yr",10.2615522313373
1970,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",53.8229,"Bcf/yr",3.92317219140648
1971,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",34.31,"Million bbl/yr",13.6820696417831
1971,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",72.9927,"Bcf/yr",5.32046639656495
1972,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",37.96,"Million bbl/yr",15.137608965377
1972,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",79.6284,"Bcf/yr",5.80414515988904
1973,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",117.7125,"Million bbl/yr",46.9411431859046
1973,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",97.3236,"Bcf/yr",7.09395519541994
1974,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",302.1105,"Million bbl/yr",120.474989813871
1974,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",97.3236,"Bcf/yr",7.09395519541994
1975,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",300.6213,"Million bbl/yr",119.881129769844
1975,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",85.89545,"Bcf/yr",6.26095288080623
1976,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",347.3997,"Million bbl/yr",138.535321741024
1976,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",97.76598,"Bcf/yr",7.12620044630821
1977,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",361.7223,"Million bbl/yr",144.246858046807
1977,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",145.124,"Bcf/yr",10.5781450108722
1978,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",316.7397,"Million bbl/yr",126.308791422835
1978,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",190.968,"Bcf/yr",13.9197320666206
1979,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",322.9155,"Million bbl/yr",128.771563958356
1979,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",202.0494,"Bcf/yr",14.7274596383763
1980,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",294.1827,"Million bbl/yr",117.313558403025
1980,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",254.2225,"Bcf/yr",18.5303772637638
1981,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",248.127,"Million bbl/yr",98.9475632179162
1981,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",312.732,"Bcf/yr",22.7951575586401
1982,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",199.728,"Million bbl/yr",79.6471117870605
1982,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",329.29935,"Bcf/yr",24.0027581674014
1983,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",185.712,"Million bbl/yr",74.0578407844598
1983,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",310.9508,"Bcf/yr",22.6653251953276
1984,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",179.58,"Million bbl/yr",71.6125347208219
1984,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",355.2764,"Bcf/yr",25.8962354823505
1985,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",173.886,"Million bbl/yr",69.3418933760154
1985,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",385.586,"Bcf/yr",28.1055140580619
1986,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",284.643,"Million bbl/yr",113.509336900206
1986,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",397.3098,"Bcf/yr",28.9600664165861
1987,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",395.4,"Million bbl/yr",157.676780424396
1987,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",408.6978,"Bcf/yr",29.7901421820267
1988,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",378.6,"Million bbl/yr",150.977311756895
1988,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",419.75,"Bcf/yr",30.5957413543839
1989,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",536.6,"Million bbl/yr",213.984219463153
1989,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",461.506,"Bcf/yr",33.6393524943331
1990,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",595.7,"Million bbl/yr",237.551993168469
1990,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",487.8882,"Bcf/yr",35.5623613509373
1991,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",722.7,"Million bbl/yr",288.1967860716
1991,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",554.65254,"Bcf/yr",40.4288401557882
1992,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",672.3,"Million bbl/yr",268.098380069098
1992,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",586.6791,"Bcf/yr",42.7632686161352
1993,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",654.1,"Million bbl/yr",260.840622345972
1993,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",599.17451,"Bcf/yr",43.6740639287665
1994,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",678.2,"Million bbl/yr",270.451169660661
1994,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",696.5514,"Bcf/yr",50.7719034530888
1995,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",683.6,"Million bbl/yr",272.604570303786
1995,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",621.3687,"Bcf/yr",45.2918071016314
1996,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",673.8,"Million bbl/yr",268.69654691441
1996,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",666.9343695,"Bcf/yr",48.6131065385851
1997,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",708.1,"Million bbl/yr",282.374628777225
1997,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",712.6814205,"Bcf/yr",51.9476269438783
1998,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",748.3,"Million bbl/yr",298.405500231602
1998,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",861.67363975,"Bcf/yr",62.8077279658882
1999,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",673.4,"Million bbl/yr",268.53703575566
1999,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1023.4287,"Bcf/yr",74.5981174505143
2000,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",695.4,"Million bbl/yr",277.310149486912
2000,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1031.83367,"Bcf/yr",75.2107589947938
2001,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",669.8,"Million bbl/yr",267.10143532691
2001,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1081.027465,"Bcf/yr",78.7965139157244
2002,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",616.9,"Million bbl/yr",246.00608458222
2002,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1190.53928,"Bcf/yr",86.7788728603084
2003,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",675.3,"Million bbl/yr",269.294713759723
2003,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1228.856055,"Bcf/yr",89.5717975474653
2004,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",713.6,"Million bbl/yr",284.567907210038
2004,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1269.64488,"Bcf/yr",92.5449109241163
2005,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",839.5,"Million bbl/yr",334.774044426607
2005,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1279.53308,"Bcf/yr",93.2656656820922
2006,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",894.3,"Million bbl/yr",356.62707317536
2006,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1341.33433,"Bcf/yr",97.7703829194421
2007,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",846.8,"Million bbl/yr",337.685123073795
2007,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1396.21384,"Bcf/yr",101.770571826209
2008,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",888.8,"Million bbl/yr",354.433794742547
2008,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1382.86477,"Bcf/yr",100.797552902941
2009,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",779.3,"Million bbl/yr",310.767615034728
2009,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1305.217683,"Bcf/yr",95.1378264210512
2010,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",789.1,"Million bbl/yr",314.675638424104
2010,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1394.2362,"Bcf/yr",101.626420874614
2011,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",913.191,"Million bbl/yr",364.160386425226
2011,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1618.077754,"Bcf/yr",117.942319124875
2012,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",948.2,"Million bbl/yr",378.121201816925
2012,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1959.136813,"Bcf/yr",142.802247071828
2013,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",996.928,"Million bbl/yr",397.552851175852
2013,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1934.149146,"Bcf/yr",140.980886269967
2014,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",1002.179,"Million bbl/yr",399.646833912343
2014,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1964.320589,"Bcf/yr",143.180094528017
2015,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",1068.575,"Million bbl/yr",426.124091153259
2015,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1918.427996,"Bcf/yr",139.83496550953
2016,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",1095,"Million bbl/yr",436.661797078183
2016,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",1965.869177,"Bcf/yr",143.292971711847
2017,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",1186.25,"Million bbl/yr",473.050280168031
2017,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",2129.691609,"Bcf/yr",155.234052730353
2018,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",1277.5,"Million bbl/yr",509.43876325788
2018,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",2510.134941,"Bcf/yr",182.964715710394
2019,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",1350.5,"Million bbl/yr",538.549549729758
2019,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",2612.589429,"Bcf/yr",190.432663335036
2020,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",1277.5,"Million bbl/yr",509.43876325788
2020,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",2689.430294,"Bcf/yr",196.033623980628
2021,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",1277.5,"Million bbl/yr",509.43876325788
2021,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",2689.430294,"Bcf/yr",196.033623980628
2022,"Abu Dhabi National Oil Company","State-owned Entity","Oil & NGL",1277.5,"Million bbl/yr",509.43876325788
2022,"Abu Dhabi National Oil Company","State-owned Entity","Natural Gas",2689.430294,"Bcf/yr",196.033623980628
2012,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",4,"Million tonnes/yr",8.07636177449011
2013,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",4.09,"Million tonnes/yr",8.25807991441614
2014,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",7.92,"Million tonnes/yr",15.9911963134904
2015,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",10.36,"Million tonnes/yr",20.9177769959294
2016,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",11.45,"Million tonnes/yr",23.1185855794779
2017,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",11.15,"Million tonnes/yr",22.5128584463912
2018,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",16.9,"Million tonnes/yr",34.1226284972207
2019,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",13.261,"Million tonnes/yr",26.7751583728783
2020,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",15.72,"Million tonnes/yr",31.7401017737461
2021,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",26.78,"Million tonnes/yr",54.0712420802113
2022,"Adani Enterprises","Investor-owned Company","Sub-Bituminous Coal",34.9,"Million tonnes/yr",70.4662564824262
1992,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",1,"Million tonnes/yr",2.01909044362253
1993,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",1.4,"Million tonnes/yr",2.82672662107154
1994,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",2.4,"Million tonnes/yr",4.84581706469407
1995,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",5.5,"Million tonnes/yr",11.1049974399239
1996,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",8.6,"Million tonnes/yr",17.3641778151537
1997,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",9.4,"Million tonnes/yr",18.9794501700518
1998,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",10.9,"Million tonnes/yr",22.0080858354855
1999,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",13.6,"Million tonnes/yr",27.4596300332664
2000,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",15.5,"Million tonnes/yr",31.2959018761492
2001,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",17.7,"Million tonnes/yr",35.7379008521187
2002,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",20.8,"Million tonnes/yr",41.9970812273486
2003,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",22.5,"Million tonnes/yr",45.4295349815069
2004,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",24.3,"Million tonnes/yr",49.0638977800274
2005,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",26.7,"Million tonnes/yr",53.9097148447215
2006,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",34.4,"Million tonnes/yr",69.4567112606149
2007,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",36.1,"Million tonnes/yr",72.8891650147732
2008,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",38.5,"Million tonnes/yr",77.7349820794673
2009,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",40.6,"Million tonnes/yr",81.9750720110746
2010,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",42.2,"Million tonnes/yr",85.2056167208707
2011,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",47.7,"Million tonnes/yr",96.3106141607946
2012,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",47.2,"Million tonnes/yr",95.3010689389833
2013,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",52.3,"Million tonnes/yr",105.598430201458
2014,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",56.2,"Million tonnes/yr",113.472882931586
2015,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",51.5,"Million tonnes/yr",103.98315784656
2016,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",52.38,"Million tonnes/yr",105.759957436948
2016,"Adaro Energy","Investor-owned Company","Metallurgical Coal",0.22,"Million tonnes/yr",0.652655756686362
2017,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",50.9,"Million tonnes/yr",102.771703580387
2017,"Adaro Energy","Investor-owned Company","Metallurgical Coal",0.9,"Million tonnes/yr",2.66995536826239
2018,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",48.23,"Million tonnes/yr",97.3807320959145
2018,"Adaro Energy","Investor-owned Company","Metallurgical Coal",5.77,"Million tonnes/yr",17.1173805276378
2019,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",52.8073,"Million tonnes/yr",106.622714783508
2019,"Adaro Energy","Investor-owned Company","Metallurgical Coal",5.2227,"Million tonnes/yr",15.4937510020267
2020,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",49.6223,"Million tonnes/yr",100.19191172057
2020,"Adaro Energy","Investor-owned Company","Metallurgical Coal",4.9077,"Million tonnes/yr",14.5592666231348
2021,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",49.8542,"Million tonnes/yr",100.660138794446
2021,"Adaro Energy","Investor-owned Company","Metallurgical Coal",2.8458,"Million tonnes/yr",8.44239887444568
2022,"Adaro Energy","Investor-owned Company","Sub-Bituminous Coal",59.51,"Million tonnes/yr",120.156072299977
2022,"Adaro Energy","Investor-owned Company","Metallurgical Coal",3.37,"Million tonnes/yr",9.99749954560473
1996,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",8.164746441,"Million tonnes/yr",22.160256954928
1997,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",9.8884151341,"Million tonnes/yr",26.8385334231906
1998,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",12.1564002566,"Million tonnes/yr",32.9941603551151
1999,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",12.7914360909,"Million tonnes/yr",34.7177358960539
2000,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",12.4285584713,"Million tonnes/yr",33.732835586946
2001,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",14.2429465693,"Million tonnes/yr",38.6573371324856
2002,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",16.329492882,"Million tonnes/yr",44.3205139098561
2003,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",17.4181257408,"Million tonnes/yr",47.2752148371798
2004,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",18.485893136473,"Million tonnes/yr",50.1732839967298
2005,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",20.7747437221,"Million tonnes/yr",56.385542696428
2006,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",21.5004989613,"Million tonnes/yr",58.3553433146438
2007,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",22.0448153907,"Million tonnes/yr",59.8326937783057
2008,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",23.976231521021,"Million tonnes/yr",65.0748256735325
2009,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",23.440079838062,"Million tonnes/yr",63.6196354668256
2010,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",26.18162025414,"Million tonnes/yr",71.0605573021359
2011,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",27.898938588897,"Million tonnes/yr",75.7215980149891
2012,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",31.5703529052,"Million tonnes/yr",85.6863268923884
2013,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",35.182799608318,"Million tonnes/yr",95.4910094695576
2014,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",36.967250302701,"Million tonnes/yr",100.334256739596
2015,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",37.356436549722,"Million tonnes/yr",101.390562321114
2016,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",31.973147062956,"Million tonnes/yr",86.7795662354982
2017,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",34.118660988841,"Million tonnes/yr",92.6027893130987
2018,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",36.529075577034,"Million tonnes/yr",99.144989616348
2019,"Alliance Resource Partners","Investor-owned Company","Oil & NGL",1.105,"Million bbl/yr",0.440649576046933
2019,"Alliance Resource Partners","Investor-owned Company","Natural Gas",3.664,"Bcf/yr",0.267070390285796
2019,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",36.270525273069,"Million tonnes/yr",98.4432481461086
2020,"Alliance Resource Partners","Investor-owned Company","Oil & NGL",1.285,"Million bbl/yr",0.512429597484443
2020,"Alliance Resource Partners","Investor-owned Company","Natural Gas",3.635,"Bcf/yr",0.264956568965302
2020,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",24.48516738251,"Million tonnes/yr",66.4561483570564
2021,"Alliance Resource Partners","Investor-owned Company","Oil & NGL",1.182,"Million bbl/yr",0.471355474106312
2021,"Alliance Resource Partners","Investor-owned Company","Natural Gas",3.49,"Bcf/yr",0.254387462362835
2021,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",29.217998736143,"Million tonnes/yr",79.3017106385963
2022,"Alliance Resource Partners","Investor-owned Company","Oil & NGL",1.513,"Million bbl/yr",0.603350957971955
2022,"Alliance Resource Partners","Investor-owned Company","Natural Gas",4.838,"Bcf/yr",0.3526437085706
2022,"Alliance Resource Partners","Investor-owned Company","Bituminous Coal",32.184523276373,"Million tonnes/yr",87.3532706655535
1981,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",9.26865652923262,"Million tonnes/yr",25.1564224068678
1981,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",3.44028867713563,"Million tonnes/yr",10.206019135434
1982,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",12.2624325890185,"Million tonnes/yr",33.281946846576
1982,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",4.55150191968352,"Million tonnes/yr",13.502563315684
1983,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",12.0533612200182,"Million tonnes/yr",32.7144980847014
1983,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",4.47389996557103,"Million tonnes/yr",13.2723480334948
1984,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",15.5751551425671,"Million tonnes/yr",42.2731364122905
1984,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",5.7810999613131,"Million tonnes/yr",17.1503098624105
1985,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",16.1481165506542,"Million tonnes/yr",43.8282333305128
1985,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",5.99376860601043,"Million tonnes/yr",17.7812162952668
1986,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",15.3687302491185,"Million tonnes/yr",41.7128705529928
1986,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",5.70448031147371,"Million tonnes/yr",16.9230087008515
1987,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",11.737107695502,"Million tonnes/yr",31.856142051624
1987,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",4.3565147319436,"Million tonnes/yr",12.9241109949633
1988,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",11.2475101901815,"Million tonnes/yr",30.5273063552806
1988,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",4.17478863828252,"Million tonnes/yr",12.3849992623814
1989,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",11.181348373965,"Million tonnes/yr",30.3477339878398
1989,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",4.15023105867102,"Million tonnes/yr",12.3121463273644
1990,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",12.372261211014,"Million tonnes/yr",33.5800369957331
1990,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",4.59226750256436,"Million tonnes/yr",13.6234991899652
1991,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",11.181348373965,"Million tonnes/yr",30.3477339878398
1991,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",4.15023105867102,"Million tonnes/yr",12.3121463273644
1992,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",11.9091284430665,"Million tonnes/yr",32.323030275913
1992,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",4.42036444074789,"Million tonnes/yr",13.11352863139
1993,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",14.5556014273906,"Million tonnes/yr",39.505925884575
1993,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",5.40266764970217,"Million tonnes/yr",16.0276461047332
1994,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",16.7720225564115,"Million tonnes/yr",45.5216009694485
1994,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",6.22534658755293,"Million tonnes/yr",18.468219489701
1995,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",18.9884436854323,"Million tonnes/yr",51.537276054322
1995,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",7.04802552540368,"Million tonnes/yr",20.9087928746688
1996,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",21.1056220674484,"Million tonnes/yr",57.2835925264781
1996,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",7.83386809292999,"Million tonnes/yr",23.2400868544199
1997,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",22.8575871862099,"Million tonnes/yr",62.0386694279318
1997,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",8.48415281682771,"Million tonnes/yr",25.1692326204974
1998,"Alpha Metallurgical Resources","Investor-owned Company","Bituminous Coal",17.8717227653,"Million tonnes/yr",48.5063402235647
1998,"Alpha Metallurgical Resources","Investor-owned Company","Metallurgical Coal",16.5109316918,"Million tonnes/yr",48.9816118950389
